call_id,run,physical_ids,track_id,source_request_ids,server_start,duration_ms,result,error,input_lines,latest_evidence_to_http_start_ms_estimate
30,v1-warm,"[""D""]",6,"[""536:6:266"", ""540:6:269"", ""544:6:271"", ""548:6:274""]",2953.534160407,835.33,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.96, ""probabilities"": {""aqua-minerale-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""other_product"": 0.01, ""senezhskaya-0-5l"": 0.0, ""insufficient_evidence"": 0.01, ""prostokvashino-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.01, ""domik-v-derevne-2-5-930ml"": 0.97}}, ""usage"": {""input_tokens"": 2791, ""output_tokens"": 187}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""Domиk"", ""score"": 0.6371315121650696}, {""text"": ""MОΛОK"", ""score"": 0.4948347508907318}, {""text"": ""omu"", ""score"": 0.5301225781440735}, {""text"": ""OMUK"", ""score"": 0.4803677797317505}, {""text"": ""uc"", ""score"": 0.43470749258995056}, {""text"": ""БОЛЬШЕ"", ""score"": 0.9682127833366394}, {""text"": ""Вдеревне"", ""score"": 0.6365007162094116}, {""text"": ""КАЧЕСТВО"", ""score"": 0.9884412884712219}, {""text"": ""омик"", ""score"": 0.4167231321334839}, {""text"": ""СВЯТC"", ""score"": 0.6144527196884155}, {""text"": ""СВЯТС"", ""score"": 0.5672020316123962}, {""text"": ""УЗНАТЬ"", ""score"": 0.8416313529014587}, {""text"": ""УСТОЧИ"", ""score"": 0.5747949481010437}, {""text"": ""ФЕПМ"", ""score"": 0.7156755924224854}, {""text"": ""ФЕРМ"", ""score"": 0.7265439629554749}]",14770.84
31,v2-warm-b,"[""P""]",3,"[""551:3:277""]",2961.696369281,893.11,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.82, ""probabilities"": {""aqua-minerale-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.1, ""insufficient_evidence"": 0.84, ""prostokvashino-2-5-930ml"": 0.05, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""other_product"": 0.01}}, ""usage"": {""input_tokens"": 2303, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9620616436004639}, {""text"": ""МОЛОКО"", ""score"": 0.8802745342254639}]",0.21
32,v2-warm-b,"[""S""]",5,"[""552:5:282""]",2962.563911993,10036.22,,RuntimeError,"[{""text"": ""СЕНЕЖСКАЯ"", ""score"": 0.7768042087554932}]",0.16
33,v2-warm-b,"[""W""]",2,"[""558:2:291""]",2967.03711442,10824.34,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.85, ""probabilities"": {""senezhskaya-0-5l"": 0.01, ""insufficient_evidence"": 0.86, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""saint-spring-0-75l"": 0.06, ""aqua-minerale-0-5l"": 0.01, ""prostokvashino-2-5-930ml"": 0.01, ""domik-v-derevne-2-5-930ml"": 0.02, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""other_product"": 0.02}}, ""usage"": {""input_tokens"": 2261, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""onis"", ""score"": 0.6747888326644897}]",6.87
34,v2-warm-b,"[""P""]",3,"[""551:3:277"", ""554:3:287"", ""558:3:292"", ""562:3:297""]",2974.60084555,947.62,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.72, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""other_product"": 0.03, ""prostokvashino-2-5-930ml"": 0.1, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.12, ""senezhskaya-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.75}}, ""usage"": {""input_tokens"": 2418, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9674730896949768}, {""text"": ""6U5112"", ""score"": 0.43820515275001526}, {""text"": ""6U81121"", ""score"": 0.42736873030662537}, {""text"": ""82"", ""score"": 0.3674461245536804}, {""text"": ""МОЛОКО"", ""score"": 0.892039954662323}]",4474.82
35,v2-warm-b,"[""S""]",5,"[""552:5:282"", ""555:5:288"", ""559:5:293""]",2984.86311322,800.15,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.99, ""probabilities"": {""senezhskaya-0-5l"": 0.99, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.01, ""aqua-minerale-0-5l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""other_product"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0}}, ""usage"": {""input_tokens"": 2346, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""CEHЕЖCKA"", ""score"": 0.588487982749939}, {""text"": ""CEHЕЖCKА"", ""score"": 0.5509895086288452}, {""text"": ""СЕНЕЖСКАЯ"", ""score"": 0.7768042087554932}]",16782.31
36,v3-warm-b,"[""P""]",1,"[""567:1:301""]",2995.202269958,843.99,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.79, ""probabilities"": {""prostokvashino-2-5-930ml"": 0.06, ""insufficient_evidence"": 0.82, ""aqua-minerale-0-5l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.1, ""other_product"": 0.02, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""saint-spring-0-75l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0}}, ""usage"": {""input_tokens"": 2337, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.945024847984314}, {""text"": ""U1"", ""score"": 0.39244168996810913}, {""text"": ""МОЛОКО"", ""score"": 0.900402843952179}]",0.21
37,v3-warm-b,"[""D""]",3,"[""567:3:303""]",2995.660138058,858.94,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.74, ""probabilities"": {""saint-spring-0-75l"": 0.06, ""aqua-minerale-0-5l"": 0.03, ""prostokvashino-2-5-930ml"": 0.01, ""other_product"": 0.06, ""domik-v-derevne-2-5-930ml"": 0.03, ""insufficient_evidence"": 0.78, ""senezhskaya-0-5l"": 0.01, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""dobryi-cola-no-sugar-0-5l"": 0.01}}, ""usage"": {""input_tokens"": 2367, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""382"", ""score"": 0.26122021675109863}, {""text"": ""BE"", ""score"": 0.9634328484535217}, {""text"": ""io"", ""score"": 0.665249228477478}, {""text"": ""nРО"", ""score"": 0.5384777784347534}]",0.24
38,v3-warm-b,"[""A""]",4,"[""567:4:304""]",2995.995671725,844.04,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.44, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""senezhskaya-0-5l"": 0.01, ""other_product"": 0.05, ""insufficient_evidence"": 0.42, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""aqua-minerale-0-5l"": 0.51}}, ""usage"": {""input_tokens"": 2297, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKB"", ""score"": 0.9812813401222229}, {""text"": ""CKA"", ""score"": 0.9698147177696228}]",0.24
39,v3-warm-b,"[""S""]",5,"[""568:5:306""]",2996.367127112,10030.1,,RuntimeError,"[{""text"": ""CEНЕЖCKА"", ""score"": 0.566695511341095}]",0.19
40,v3-warm-b,"[""W""]",2,"[""571:2:310""]",2998.293593217,842.58,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.76, ""probabilities"": {""dobryi-cola-no-sugar-0-5l"": 0.1, ""other_product"": 0.04, ""prostokvashino-2-5-930ml"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.03, ""aqua-minerale-0-5l"": 0.01, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""saint-spring-0-75l"": 0.02, ""insufficient_evidence"": 0.78, ""senezhskaya-0-5l"": 0.02}}, ""usage"": {""input_tokens"": 2263, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""DruS"", ""score"": 0.3538157343864441}]",0.29
